scene,mode,exp_dir,num_gaussians,opacity_lt_0_1_ratio,opacity_mean,opacity_median,opacity_p10,opacity_p90,scale_mean_global_tiny_thr,tiny_scale_ratio,scale_mean_mean,scale_mean_median,scale_mean_p10,scale_mean_p90,ckpt_path
bike,low,bike_low,182135,0.6226260740659401,0.19789737849096248,0.057936836034059525,0.009486187621951104,0.7967861056327821,0.004688415149489732,0.06025750130397782,0.022816740382563355,0.01273818679865376,0.0057348973149173085,0.053768721984667464,/home/wd/workspace/experiments/luminance_gs/bike_low/ckpts/ckpt_9999.pt
bike,over_exp,bike_over_exp,263103,0.5420158645093367,0.2722011926131177,0.0793328657746315,0.010890481621026992,0.9580803155899049,0.004688415149489732,0.06644165973021972,0.022579198984221824,0.012070198157901538,0.005448841178543182,0.05425955674640208,/home/wd/workspace/experiments/luminance_gs/bike_over_exp/ckpts/ckpt_9999.pt
buu,low,buu_low,79423,0.5825516538030545,0.1916169945531935,0.07265156507492065,0.011066893115639687,0.645510995388031,0.004688415149489732,0.022688641829193053,0.02240286452850955,0.012304802407051292,0.006520500947895151,0.05339107052772148,/home/wd/workspace/experiments/luminance_gs/buu_low/ckpts/ckpt_9999.pt
buu,over_exp,buu_over_exp,91968,0.4776009046624913,0.2835162965399522,0.11141391098499298,0.012184744235128166,0.9437750458717347,0.004688415149489732,0.052333420320111346,0.019958979561644958,0.011444646602285436,0.005681831327107189,0.04492115930271572,/home/wd/workspace/experiments/luminance_gs/buu_over_exp/ckpts/ckpt_9999.pt
chair,low,chair_low,54998,0.6533146659878541,0.15142251011321206,0.05647178739309311,0.009999998845160007,0.4453551024198536,0.004688415149489732,0.003981962980472017,0.04241298140975106,0.023683764804616744,0.011107394445501044,0.10422094394378191,/home/wd/workspace/experiments/luminance_gs/chair_low/ckpts/ckpt_9999.pt
chair,over_exp,chair_over_exp_rerun,107805,0.49967997773758177,0.25635886362574095,0.10012374818325043,0.013507746718823911,0.8990251660346987,0.004688415149489732,0.010333472473447429,0.03343357290144461,0.019700909392548618,0.009432315196631642,0.07538886053584956,/home/wd/workspace/experiments/luminance_gs/chair_over_exp_rerun/ckpts/ckpt_9999.pt
shrub,low,shrub_low,838666,0.6443470940755914,0.18768594342676712,0.05261262506246567,0.009760571643710136,0.7385989427566528,0.004688415149489732,0.06799011763920321,0.013412263538019198,0.011499491644701956,0.0055028059869858415,0.02137091004988749,/home/wd/workspace/experiments/luminance_gs/shrub_low/ckpts/ckpt_9999.pt
shrub,over_exp,shrub_over_exp_rerun,1622017,0.5963168080235903,0.21632989769828478,0.06556979566812515,0.013713321462273598,0.8402391672134402,0.004688415149489732,0.1422876578975436,0.011166153108318177,0.009347642265990217,0.003944773805846025,0.01873819069236388,/home/wd/workspace/experiments/luminance_gs/shrub_over_exp_rerun/ckpts/ckpt_9999.pt
sofa,low,sofa_low_rerun,39324,0.5599888109042823,0.20192024147605311,0.08004240319132805,0.009999998845160007,0.7183087706565857,0.004688415149489732,0.043052588749872854,0.033438382631442984,0.021812315649628437,0.006303660821725115,0.07574217876577238,/home/wd/workspace/experiments/luminance_gs/sofa_low_rerun/ckpts/ckpt_9999.pt
sofa,over_exp,sofa_over_exp_rerun,67585,0.4331730413553303,0.30838708463590697,0.14214888215065002,0.013149630092084409,0.9573882460594177,0.004688415149489732,0.1300880372863801,0.02256067883527823,0.01219696527491126,0.004199676990900675,0.05632677208587779,/home/wd/workspace/experiments/luminance_gs/sofa_over_exp_rerun/ckpts/ckpt_9999.pt
