scene,val_idx,mean_raw_sat_overexp,mean_raw_sat_low,mean_raw_normal_overexp,mean_raw_normal_low,sat_ratio,normal_ratio,total_gs_overexp,total_gs_low
bike,0,107.56820678710938,139.681884765625,93.9005355834961,105.75807189941406,0.7700941819878805,0.8878805550918553,263103,182135
bike,1,117.48490905761719,141.11996459960938,89.7050552368164,98.9871826171875,0.8325179884430214,0.9062289971796873,263103,182135
bike,2,113.49363708496094,124.3045654296875,92.04609680175781,103.77928161621094,0.9130287105115079,0.88694097095561,263103,182135
bike,3,120.86359405517578,138.87347412109375,90.89063262939453,102.24836730957031,0.8703144702046277,0.8889201365358846,263103,182135
buu,0,125.9653091430664,137.74081420898438,124.36363983154297,120.42878723144531,0.9145096888417413,1.0326736878329223,91968,79423
buu,1,110.6515884399414,133.24742126464844,135.21456909179688,136.17840576171875,0.8304219878309804,0.9929222503044398,91968,79423
buu,2,87.33434295654297,103.02925109863281,126.76441192626953,128.73883056640625,0.847665512708962,0.9846633790951032,91968,79423
chair,0,87.3967056274414,60.5792350769043,97.73985290527344,90.5221176147461,1.4426842055118851,1.0797344945159741,107805,54998
chair,1,108.2945327758789,82.58018493652344,121.79261016845703,111.62367248535156,1.3113864162343691,1.0911001892043997,107805,54998
chair,2,87.53117370605469,84.60888671875,100.24834442138672,97.42111206054688,1.034538771287923,1.0290207358655763,107805,54998
chair,3,76.763916015625,65.28023529052734,110.70759582519531,105.7803955078125,1.1759135927434996,1.0465795225450722,107805,54998
chair,4,94.57923126220703,78.12908172607422,114.20638275146484,106.28961181640625,1.210550913599729,1.0744830167291721,107805,54998
sofa,0,80.62488555908203,80.63239288330078,83.97498321533203,109.48222351074219,0.9999068944384472,0.7670193436205884,67585,39324
sofa,1,79.30867767333984,86.71751403808594,72.56915283203125,98.24356079101562,0.9145635521621138,0.7386657430546604,67585,39324
sofa,2,111.7446517944336,131.69696044921875,87.29593658447266,112.86962127685547,0.8484983359773243,0.7734227828260921,67585,39324
sofa,3,67.88082122802734,110.9306640625,81.526123046875,106.85404968261719,0.6119211653667039,0.7629670872468347,67585,39324
